game_id,team_id,gold_earned,total_damage_dealt_to_champions,total_damage_taken,damage_dealt_to_turrets,wards_placed,wards_killed,vision_score,champion_mastery_level,baron_kills,dragon_kills,win
3694159141.0,200.0,65977.0,126678.0,145359.0,23343.0,42.0,10.0,26.2,7.8,0.0,0.0,1
3694181749.0,100.0,68240.0,120244.0,115789.0,26936.0,86.0,34.0,44.4,20.6,1.0,1.0,1
3694181749.0,200.0,57983.0,84610.0,153584.0,12392.0,70.0,32.0,29.4,6.2,0.0,0.0,0
3702460564.0,100.0,55732.0,104087.0,112165.0,18430.0,52.0,8.0,20.4,9.8,1.0,0.0,1
3702460564.0,200.0,44456.0,86669.0,126661.0,6005.0,54.0,7.0,21.0,11.6,0.0,0.0,0
3702814688.0,100.0,50759.0,78976.0,135999.0,6764.0,53.0,10.0,23.2,11.0,0.0,0.0,0
3702814688.0,200.0,58821.0,110922.0,114008.0,21590.0,62.0,16.0,31.6,21.8,0.0,0.0,1
3702838852.0,100.0,57177.0,77000.0,106766.0,22936.0,45.0,8.0,26.4,7.0,0.0,1.0,1
3702838852.0,200.0,42391.0,65815.0,94927.0,6066.0,33.0,8.0,16.6,17.6,0.0,0.0,0
3703102513.0,100.0,58864.0,109572.0,161314.0,8540.0,61.0,13.0,30.2,5.0,0.0,2.0,0
3703102513.0,200.0,71445.0,137701.0,154770.0,26375.0,56.0,10.0,26.4,5.0,1.0,2.0,1
3703139411.0,100.0,66308.0,153638.0,173324.0,18692.0,52.0,7.0,27.4,9.0,0.0,1.0,1
3703139411.0,200.0,60739.0,124925.0,193243.0,16337.0,46.0,10.0,19.6,8.4,0.0,1.0,0
3704176986.0,100.0,47362.0,93620.0,89161.0,19771.0,43.0,6.0,16.6,6.6,0.0,0.0,1
3704176986.0,200.0,37935.0,61252.0,116241.0,3519.0,39.0,4.0,17.6,5.8,0.0,0.0,0
3705264306.0,100.0,47520.0,102843.0,136338.0,8104.0,56.0,3.0,23.8,7.0,0.0,0.0,0
3705264306.0,200.0,54682.0,111027.0,141435.0,23753.0,43.0,10.0,24.2,12.6,0.0,0.0,1
3705764660.0,100.0,72674.0,159228.0,210079.0,17522.0,63.0,14.0,28.2,5.8,0.0,0.0,0
3705764660.0,200.0,77901.0,175762.0,194740.0,20056.0,83.0,12.0,35.8,7.6,0.0,0.0,1
3707103859.0,100.0,42076.0,64633.0,115461.0,1398.0,51.0,9.0,21.6,11.8,0.0,0.0,0
3707103859.0,200.0,58050.0,94203.0,107268.0,29839.0,40.0,17.0,23.2,34.6,0.0,0.0,1
3707619795.0,100.0,57742.0,97919.0,124686.0,27820.0,51.0,11.0,25.8,24.0,0.0,0.0,1
3707619795.0,200.0,46511.0,87881.0,123204.0,2149.0,54.0,15.0,24.6,30.4,0.0,0.0,0
3707925448.0,200.0,52646.0,95282.0,84920.0,22985.0,39.0,3.0,17.4,9.0,0.0,0.0,1
3708589097.0,100.0,67944.0,153474.0,148739.0,29294.0,59.0,17.0,34.2,26.8,0.0,0.0,1
3708589097.0,200.0,57362.0,114650.0,185525.0,6764.0,61.0,11.0,28.0,15.0,0.0,2.0,0
3708619262.0,100.0,64688.0,113232.0,162704.0,25734.0,63.0,12.0,27.0,7.2,0.0,0.0,1
3708619262.0,200.0,59863.0,126661.0,143460.0,12665.0,60.0,10.0,29.4,10.0,0.0,0.0,0
3708651048.0,100.0,55918.0,106546.0,152782.0,10636.0,47.0,6.0,21.8,62.6,0.0,0.0,0
3708651048.0,200.0,64537.0,118128.0,141857.0,26134.0,49.0,12.0,23.4,10.6,0.0,2.0,1
3709051391.0,100.0,65344.0,142042.0,164814.0,21730.0,71.0,11.0,30.6,5.6,0.0,0.0,0
3709051391.0,200.0,67953.0,129092.0,173878.0,24259.0,73.0,11.0,29.8,35.6,1.0,0.0,1
3709156490.0,100.0,69292.0,141290.0,153188.0,22913.0,55.0,19.0,28.0,13.4,0.0,2.0,1
3709156490.0,200.0,60304.0,122924.0,176270.0,14500.0,48.0,20.0,27.2,7.2,0.0,0.0,0
3709183656.0,100.0,59502.0,146931.0,155636.0,15838.0,67.0,9.0,31.6,7.0,0.0,0.0,0
3709183656.0,200.0,67948.0,131139.0,187942.0,28841.0,62.0,13.0,28.4,20.6,0.0,0.0,1
3710135741.0,100.0,39400.0,67350.0,62989.0,3980.0,48.0,6.0,19.4,15.4,0.0,0.0,1
3710135741.0,200.0,35355.0,43982.0,85358.0,7523.0,36.0,12.0,17.6,8.8,0.0,0.0,0
3710191526.0,100.0,56016.0,118100.0,105966.0,19581.0,49.0,11.0,21.0,15.4,0.0,0.0,1
3710191526.0,200.0,45624.0,70093.0,140302.0,8916.0,49.0,10.0,20.4,4.6,0.0,0.0,0
3710221208.0,100.0,67517.0,134576.0,139718.0,28789.0,52.0,16.0,31.0,11.0,0.0,0.0,1
3710221208.0,200.0,56542.0,108294.0,166292.0,9418.0,46.0,6.0,20.2,9.0,0.0,0.0,0
3710664570.0,100.0,24807.0,24466.0,51611.0,3266.0,33.0,2.0,10.8,5.8,0.0,0.0,0
3710664570.0,200.0,32627.0,36616.0,52139.0,12940.0,27.0,1.0,10.8,7.0,0.0,0.0,1
3710676924.0,100.0,45765.0,72818.0,163566.0,3450.0,48.0,13.0,22.2,4.0,0.0,0.0,0
3710676924.0,200.0,56162.0,138679.0,110916.0,26877.0,55.0,6.0,22.0,17.0,0.0,0.0,1
3711744093.0,100.0,35793.0,56614.0,92430.0,585.0,56.0,5.0,23.6,8.6,0.0,0.0,0
3711744093.0,200.0,52602.0,71479.0,90909.0,24669.0,47.0,13.0,20.8,10.2,1.0,3.0,1
3711756337.0,100.0,19520.0,18446.0,22640.0,6180.0,21.0,3.0,8.0,8.8,0.0,0.0,1
3711756337.0,200.0,14839.0,12689.0,29257.0,712.0,16.0,3.0,6.2,6.6,0.0,0.0,0
3712497739.0,100.0,50042.0,106346.0,154073.0,976.0,44.0,3.0,18.4,16.2,0.0,1.0,0
3712497739.0,200.0,66356.0,134995.0,145686.0,31058.0,51.0,9.0,27.4,11.2,0.0,0.0,1
3713060506.0,100.0,76661.0,172611.0,213171.0,21751.0,70.0,15.0,40.8,15.0,0.0,0.0,0
3713060506.0,200.0,78532.0,164202.0,211730.0,20624.0,61.0,14.0,29.8,15.2,0.0,0.0,1
